category_extraction_fns,n_clusters_options,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
subject,[40],3,134,139,0.021897810218978003,0.02112676056338,0.021505376344086002,0.009493670886075,0.021739130434782608
subject,[60],2,124,140,0.015873015873015,0.014084507042253001,0.014925373134328,0.0063091482649840006,0.015479876160990712
subject,[80],2,111,140,0.017699115044247,0.014084507042253001,0.015686274509803002,0.0063091482649840006,0.016835016835016835
subject,[100],2,100,140,0.019607843137254003,0.014084507042253001,0.016393442622950002,0.0063091482649840006,0.01818181818181818
subject,[120],1,96,141,0.010309278350515,0.007042253521126001,0.008368200836820001,0.00314465408805,0.009433962264150943
name,[40],1,115,141,0.008620689655172,0.007042253521126001,0.007751937984496001,0.00314465408805,0.00825082508250825
name,[60],0,125,142,0.0,0.0,,0.0,0.0
name,[80],0,111,142,0.0,0.0,,0.0,0.0
name,[100],0,100,142,0.0,0.0,,0.0,0.0
name,[120],0,91,142,0.0,0.0,,0.0,0.0
